filename,gain,target,location,mean_db,std_db,max_db
drone_000000.pt,50,1,ben shemen,4.537870407104492,7.703334331512451,49.7346076965332
drone_000001.pt,50,1,ben shemen,6.922978401184082,5.856895923614502,52.67356872558594
drone_000002.pt,50,1,ben shemen,14.831418991088867,5.821108818054199,30.91135025024414
drone_000003.pt,50,1,ben shemen,12.448036193847656,7.413792133331299,33.849769592285156
drone_000004.pt,50,1,ben shemen,10.912463188171387,6.649209022521973,36.267051696777344
drone_000005.pt,50,1,ben shemen,8.995467185974121,6.109303951263428,36.056922912597656
drone_000006.pt,50,1,ben shemen,1.5583206415176392,7.216723442077637,31.91400718688965
drone_000007.pt,50,1,ben shemen,9.260640144348145,7.504637718200684,41.897560119628906
drone_000008.pt,50,1,ben shemen,6.265692710876465,5.475251197814941,34.88673782348633
drone_000009.pt,50,1,ben shemen,8.512263298034668,8.326074600219727,33.89790344238281
drone_000010.pt,50,1,ben shemen,-0.05977567657828331,7.57761812210083,34.042659759521484
drone_000011.pt,50,1,ben shemen,0.18429003655910492,8.546876907348633,36.562015533447266
drone_000012.pt,50,1,ben shemen,0.6500875353813171,8.122147560119629,34.29555892944336
drone_000013.pt,50,1,ben shemen,1.2225922346115112,7.710509777069092,34.20952606201172
drone_000014.pt,50,1,ben shemen,4.727697372436523,7.792139530181885,31.783103942871094
drone_000015.pt,50,1,ben shemen,12.320585250854492,5.547150135040283,33.50407409667969
drone_000016.pt,50,1,ben shemen,13.68975830078125,6.136091232299805,39.140480041503906
drone_000017.pt,50,1,ben shemen,13.882139205932617,5.451334476470947,40.466007232666016
drone_000018.pt,50,1,ben shemen,13.626211166381836,5.970724582672119,36.02429962158203
drone_000019.pt,50,1,ben shemen,11.064083099365234,7.040729999542236,40.414695739746094
drone_000020.pt,50,1,ben shemen,6.4336113929748535,7.304011821746826,36.33494567871094
drone_000021.pt,50,1,ben shemen,14.524826049804688,5.846804618835449,35.16328430175781
drone_000022.pt,50,1,ben shemen,13.820854187011719,5.747654914855957,31.17102813720703
drone_000023.pt,50,1,ben shemen,7.435487747192383,5.9109697341918945,35.427696228027344
drone_000024.pt,50,1,ben shemen,10.619494438171387,7.692691326141357,41.304443359375
drone_000025.pt,50,1,ben shemen,7.9823994636535645,6.656702041625977,32.90251159667969
drone_000026.pt,50,1,ben shemen,8.620018005371094,7.1226983070373535,31.88858413696289
drone_000027.pt,50,1,ben shemen,2.3652238845825195,6.182735443115234,29.300941467285156
drone_000028.pt,50,1,ben shemen,2.2413151264190674,5.832748889923096,26.91888999938965
drone_000029.pt,50,1,ben shemen,8.213789939880371,9.032443046569824,41.47690200805664
drone_000030.pt,50,1,ben shemen,3.0307092666625977,6.489558219909668,28.04265594482422
drone_000031.pt,50,1,ben shemen,1.1537117958068848,7.107736587524414,29.363956451416016
drone_000032.pt,50,1,ben shemen,8.032905578613281,6.635343551635742,34.37931442260742
