filename,target,location,file_id,sfm_p10,prominence_db,time_variance
drone_000000.pt,1,ben shemen,0,1.1497752893774305e-05,45.061222076416016,18.316570281982422
drone_000001.pt,1,ben shemen,0,0.0038116672076284885,44.98832702636719,3.2648911476135254
drone_000002.pt,1,ben shemen,0,0.06824307143688202,15.06700611114502,0.41682958602905273
drone_000003.pt,1,ben shemen,0,0.012311525642871857,20.957504272460938,23.39122200012207
drone_000004.pt,1,ben shemen,0,0.005225508939474821,25.71550178527832,14.702723503112793
drone_000005.pt,1,ben shemen,0,0.0007765991031192243,27.027969360351562,8.648181915283203
drone_000006.pt,1,ben shemen,0,0.0004749379586428404,31.97777557373047,2.679189682006836
drone_000007.pt,1,ben shemen,0,0.0013380014570429921,34.18806076049805,25.837099075317383
drone_000008.pt,1,ben shemen,0,0.0005108789773657918,29.1978759765625,0.6508885622024536
drone_000009.pt,1,ben shemen,0,3.954478233936243e-05,24.801258087158203,33.95967483520508
drone_000010.pt,1,ben shemen,0,4.582907786243595e-05,35.665191650390625,1.1557034254074097
drone_000011.pt,1,ben shemen,0,4.524433461483568e-05,38.28616714477539,1.4126384258270264
drone_000012.pt,1,ben shemen,0,3.664623000076972e-05,35.50212478637695,0.34319883584976196
drone_000013.pt,1,ben shemen,0,5.338647679309361e-05,34.77286148071289,1.3098645210266113
drone_000014.pt,1,ben shemen,0,0.0005279215984046459,28.03042984008789,19.30429458618164
drone_000015.pt,1,ben shemen,0,0.031753864139318466,21.607975006103516,9.55947208404541
drone_000016.pt,1,ben shemen,0,0.034015171229839325,24.871967315673828,9.46336555480957
drone_000017.pt,1,ben shemen,0,0.019527342170476913,26.395519256591797,1.912915587425232
drone_000018.pt,1,ben shemen,0,0.009453107602894306,21.81255531311035,1.0613560676574707
drone_000019.pt,1,ben shemen,0,0.0012752768816426396,29.781259536743164,6.420781135559082
drone_000020.pt,1,ben shemen,0,5.33542079210747e-05,29.549785614013672,12.80190372467041
drone_000021.pt,1,ben shemen,0,0.03996384143829346,20.077213287353516,4.565394401550293
drone_000022.pt,1,ben shemen,0,0.03477776050567627,16.95258331298828,5.437756061553955
drone_000023.pt,1,ben shemen,0,0.0004265457682777196,28.492511749267578,1.7577646970748901
drone_000024.pt,1,ben shemen,0,0.000668063061311841,31.050113677978516,27.526796340942383
drone_000025.pt,1,ben shemen,0,0.005394314881414175,26.032012939453125,15.3329439163208
drone_000026.pt,1,ben shemen,0,0.004297549370676279,23.46478271484375,21.02945899963379
drone_000027.pt,1,ben shemen,0,0.002202756470069289,28.403738021850586,0.5518389940261841
